"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"100-R29-15042","תבנית אלומניום קטנה  R29 (15 יח') ארוז 40 בקרטון","Aluminum Pan R29 (packed 15) 40 pcs in a case","כן","26.46","-","12","0.079","40","הכל בסדר"
"100-R29-18030","תבנית אלומיניום קטנה R29 (18 יח') ארוז 30 בקרטון","Aluminum Pan R29 (packed 18) 30 pcs in a case","כן","28.34","-","12","0.049","30","הכל בסדר"
"100-R31-00400","תבנית אלומניום רגילה R31 (תפזורת) ארוז 400 בקרטון","Aluminum Pan R31 (bulk) 400 pcs in a case","כן","26.8","-","12","0.094","400","הכל בסדר"
"100-R31-010400","תבנית אלומניום רגילה R31 (10 יח') ארוז 40 בקרטון","Aluminum Pan R31 (10packed) 40 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R31-06030","תבנית אלומניום רגילה R31 (6 יח') ארוז 30 בקרטון","Aluminum Pan R31 (packed 6) 30 pcs in a case","כן","15.78","-","12","0.044","30","הכל בסדר"
"100-R31-06066","תבנית אלומניום רגילה R31 (6 יח') ארוז 66 בקרטון","Aluminum Pan R31 (packed 6) 66 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R31-07030","תבנית אלומיניום רגילה R31(7 יח') ארוז 30 בקרטון","Aluminum Pan R31 (packed 7) 30 pcs in a case","כן","27.17","-","12","0.046","30","הכל בסדר"
"100-R31-07040","תבנית אלומניום רגילה R31 (7 יח') ארוז 40 בקרטון","Aluminum Pan R31 (packed 7) 40 pcs in a case","כן","24.72","-","12","0.06","40","הכל בסדר"
"100-R31-08050","תבנית אלומניום רגילה R31 (8 יח') ארוז 50 בקרטון","Aluminum Pan R31 (packed 8) 50 pcs in a case","כן","29.8","-","12","0.075","50","הכל בסדר"
"100-R31-10020","תבנית אלומניום רגילה R31 (10 יח') ארוז 20 בקרטון","Aluminum Pan R31 (packed 10)20 pcs in a case","כן","26.93","-","12","0.063","20","הכל בסדר"
"100-R31200-10","תבנית אלומניום רגילה R31+מכסה (10 יח') ארוז 8 בקרטון","Aluminum Pan R31+Lid (packed 10)8 pcs in a case","כן","11.01","-","12","-","8","CBM לקרטון"
"100-R64-00500","תבנית אלומניום מלבנית R64 ((תפזורת) ארוז 500 בקרטון","Aluminum Pan R64 (bulk) 500 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R64-00600","תבנית אלומניום מלבנית R64 ((תפזורת) ארוז 600 בקרטון","Aluminum Pan R64 (bulk) 600 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R64-04042","תבנית אלומניום מלבנית R64 (7 יח') ארוז 42 בקרטון","Aluminum Pan R64 (packed 7) 42 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R64-06030","תבנית אלומניום מלבנית R64 (6 יח') ארוז 30 בקרטון","Aluminum Pan R64 (packed 6) 30 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R64-07030","תבנית אלומניום מלבנית R64 (7 יח') ארוז 30 בקרטון","Aluminum Pan R64 (packed 7) 30 pcs in a case","כן","15.48","-","12","0.029","30","הכל בסדר"
"100-R64-07040","תבנית אלומניום מלבנית R64 (7 יח') ארוז 40 בקרטון","Aluminum Pan R64 (packed 7) 40 pcs in a case","כן","21.16","-","12","0.038","40","הכל בסדר"
"100-R64-07042","תבנית אלומניום מלבנית R64 (7 יח') ארוז 42 בקרטון","Aluminum Pan R64 (packed 7) 42 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R64-10060","תבנית אלומניום מלבנית R64 (10 יח') ארוז 60 בקרטון","Aluminum Pan R64 (packed 10) 60 pcs in a case","כן","30.92","-","12","0.069","60","הכל בסדר"
"100-R64-11030","תבנית אלומיניום מלבנית R64 (11 יח') ארוז 30 בקרטון","Aluminum Pan R64  (packed 11) 30 pcs in a case","כן","28.55","-","12","0.047","30","הכל בסדר"
"100-R85-00250","תבנית אינגליש קייק נמוך (תפזורת) ארוז 250 בקרטון","Aluminum Pan R85 (bulk) 250 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R88-001000","תבנית אלומניום אינגליש קייק R88(תפזורת) ארוז 1000 בקרטון","Aluminum Pan R88 (bulk) 1000 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-R88-020048","תבנית אלומניום אינגליש קייק R88 (20יח') ארוז 48 בקרטון","Aluminum Pan R88 (20 packed) 48 pcs in a case","כן","40.32","-","12","0.12","48","הכל בסדר"
